"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.642053833E0,2.003134460E0,-1.290092239E1,4.662803650E-1,1.306383419E1
1.652110833E0,2.715203705E0,-1.405068146E1,5.906716919E-1,1.432280956E1
1.662167833E0,3.696862335E0,-1.454270828E1,6.849755859E-1,1.502086372E1
1.672224833E0,4.830155640E0,-1.447280365E1,1.120420074E0,1.529862053E1
1.682281833E0,5.927972717E0,-1.395622787E1,1.658551025E0,1.525345694E1
1.692338833E0,6.807393951E0,-1.334699478E1,2.328557739E0,1.516262059E1
1.702395833E0,7.666307831E0,-1.336465805E1,2.924917603E0,1.568252223E1
1.712452833E0,8.506809998E0,-1.388018600E1,2.873574371E0,1.653126763E1
1.722509833E0,8.628806305E0,-1.483175720E1,1.570683746E0,1.723091313E1
1.732565833E0,8.686735840E0,-1.564471664E1,-5.520520020E-1,1.790310866E1
1.742622833E0,9.265133057E0,-1.606040222E1,-4.279899902E0,1.902884004E1
1.752679833E0,9.735305328E0,-1.542063263E1,-5.434748383E0,1.902915055E1
1.762736833E0,7.214696960E0,-1.293535080E1,-2.279759216E-1,1.481307279E1
1.772793833E0,3.612737274E0,-1.200234100E1,6.539900208E-1,1.255132515E1
1.782850833E0,1.499132538E0,-1.185130508E1,3.445834351E-1,1.195071413E1
1.792907833E0,1.379082184E0,-1.143038040E1,1.890568542E0,1.166746387E1
1.802964833E0,1.360820160E0,-1.136945709E1,2.015109558E0,1.162656667E1
1.813021833E0,1.377585297E0,-1.128757736E1,1.673669586E0,1.149383808E1
1.823078833E0,1.452130280E0,-1.122261246E1,1.798060913E0,1.145812968E1
1.833134833E0,1.721120911E0,-1.123907822E1,2.321672058E0,1.160471014E1
1.843191833E0,2.337838440E0,-1.123219254E1,3.017574921E0,1.186311073E1
1.853248833E0,2.587070160E0,-1.152902527E1,3.300636292E0,1.226807057E1
1.863305833E0,2.499951324E0,-1.192016190E1,3.241658936E0,1.260350621E1
1.873362833E0,2.432890778E0,-1.222178467E1,2.809208221E0,1.277429563E1
1.883419833E0,2.392474823E0,-1.197988770E1,1.819765778E0,1.235124255E1
1.893476833E0,2.325264587E0,-1.128967300E1,1.272204437E0,1.159664072E1
1.903533833E0,2.101479950E0,-1.038555313E1,1.252894592E0,1.066984895E1
1.913589750E0,1.832339630E0,-9.457483063E0,1.344204712E0,9.726681896E0
1.923646750E0,1.647923126E0,-8.562643890E0,1.525328064E0,8.852183162E0
1.933703750E0,1.631457367E0,-7.703430634E0,1.406624908E0,7.998943074E0
1.943760750E0,1.585802307E0,-6.929689636E0,1.163979492E0,7.203486355E0
1.953817750E0,1.413959656E0,-6.199657745E0,9.812095642E-1,6.434113014E0
1.963874750E0,1.210083618E0,-5.475613403E0,9.241781616E-1,5.683374858E0
1.973931750E0,1.090482330E0,-4.918172607E0,7.521858215E-1,5.093462184E0
1.983988750E0,9.493258667E-1,-4.520749054E0,6.134243774E-1,4.659901402E0
1.994045750E0,7.937992859E-1,-4.224066010E0,5.049000549E-1,4.327559939E0
2.004102750E0,6.234535217E-1,-4.042194214E0,4.352947998E-1,4.113090069E0
2.014158750E0,4.360432434E-1,-3.962859192E0,4.444258118E-1,4.011471175E0
2.024215750E0,2.113604736E-1,-4.020040283E0,3.914360046E-1,4.044578998E0
2.034272750E0,-4.685256958E-2,-4.256847839E0,4.137396240E-1,4.277163683E0
2.044329750E0,-3.179388428E-1,-4.656965790E0,5.424719238E-1,4.699222410E0
2.054386750E0,-5.959107971E-1,-5.161117401E0,7.390132141E-1,5.247702644E0
2.064443750E0,-8.556207275E-1,-5.742807770E0,9.774673462E-1,5.887900332E0
2.074500750E0,-1.081051941E0,-6.335275726E0,1.105002136E0,6.521151857E0
2.084557750E0,-1.294208679E0,-6.797514496E0,1.248254242E0,7.031309841E0
2.094614750E0,-1.493294678E0,-7.144642639E0,1.396146698E0,7.431357416E0
2.104671750E0,-1.559457092E0,-7.492369537E0,1.697320404E0,7.838903256E0
2.114727750E0,-1.325044556E0,-7.753576355E0,2.027084656E0,8.122977383E0
2.124784750E0,-7.162605286E-1,-8.084089050E0,2.255809021E0,8.423431561E0
2.134841750E0,-1.505868530E-1,-8.715326385E0,2.224973145E0,8.996115601E0
2.144898750E0,3.471281433E-1,-9.558223572E0,2.091301117E0,9.790489066E0
2.154955750E0,8.402027893E-1,-1.055095917E1,1.969604187E0,1.076605874E1
2.165012750E0,1.382824402E0,-1.154983200E1,1.938319244E0,1.179270554E1
2.175069750E0,2.034868469E0,-1.249960693E1,2.012864227E0,1.282312308E1
2.185126750E0,2.820285187E0,-1.321317307E1,2.239343262E0,1.369513086E1
2.195183750E0,3.653751984E0,-1.362915802E1,2.665656738E0,1.435999922E1
2.205239750E0,4.461023254E0,-1.369202728E1,3.112926636E0,1.473304625E1
